comp_name,A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau,NotSim
CsLiHoF,Cs2LiHoF6,Cs,Li,Ho,F,1,1,3,-1,188.0,76.0,90.1,83.05000000000001,133.0,3.3721903078421667,False
CsLiHoCl,Cs2LiHoCl6,Cs,Li,Ho,Cl,1,1,3,-1,188.0,76.0,90.1,83.05000000000001,181.0,3.950155389118506,False
CsLiHoBr,Cs2LiHoBr6,Cs,Li,Ho,Br,1,1,3,-1,188.0,76.0,90.1,83.05000000000001,196.0,4.1307694770173615,False
CsLiErF,Cs2LiErF6,Cs,Li,Er,F,1,1,3,-1,188.0,76.0,89.0,82.5,133.0,3.378836920870364,False
CsLiErCl,Cs2LiErCl6,Cs,Li,Er,Cl,1,1,3,-1,188.0,76.0,89.0,82.5,181.0,3.960655102688545,False
CsLiErBr,Cs2LiErBr6,Cs,Li,Er,Br,1,1,3,-1,188.0,76.0,89.0,82.5,196.0,4.142473284506727,False
CsLiTmF,Cs2LiTmF6,Cs,Li,Tm,F,1,1,3,-1,188.0,76.0,88.0,82.0,133.0,3.3851429265948942,False
CsLiTmCl,Cs2LiTmCl6,Cs,Li,Tm,Cl,1,1,3,-1,188.0,76.0,88.0,82.0,181.0,3.970508780253431,False
CsLiTmBr,Cs2LiTmBr6,Cs,Li,Tm,Br,1,1,3,-1,188.0,76.0,88.0,82.0,196.0,4.153435609521724,False
CsLiYbF,Cs2LiYbF6,Cs,Li,Yb,F,1,1,3,-1,188.0,76.0,86.8,81.4,133.0,3.393044391586301,False
CsLiYbCl,Cs2LiYbCl6,Cs,Li,Yb,Cl,1,1,3,-1,188.0,76.0,86.8,81.4,181.0,3.9827249812668906,False
CsLiYbBr,Cs2LiYbBr6,Cs,Li,Yb,Br,1,1,3,-1,188.0,76.0,86.8,81.4,196.0,4.167000165542074,False
CsLiLuF,Cs2LiLuF6,Cs,Li,Lu,F,1,1,3,-1,188.0,76.0,86.1,81.05,133.0,3.3978232924544884,False
