A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau
Li2BeYbI6,Li,Be,Yb,I,1,2,2,-1,92.0,45.0,102.0,73.5,220.00000000000003,7.568622675546791
Li2BePtF6,Li,Be,Pt,F,1,2,2,-1,92.0,45.0,80.0,62.5,133.0,4.935336164743925
Li2BePtCl6,Li,Be,Pt,Cl,1,2,2,-1,92.0,45.0,80.0,62.5,181.0,5.703336164743925
Li2BePtBr6,Li,Be,Pt,Br,1,2,2,-1,92.0,45.0,80.0,62.5,196.0,5.943336164743926
Li2BePtI6,Li,Be,Pt,I,1,2,2,-1,92.0,45.0,80.0,62.5,220.00000000000003,6.327336164743926
Li2BeHgF6,Li,Be,Hg,F,1,2,2,-1,92.0,45.0,102.0,73.5,133.0,6.384949206159035
Li2BeHgCl6,Li,Be,Hg,Cl,1,2,2,-1,92.0,45.0,102.0,73.5,181.0,7.038010430648832
Li2BeHgBr6,Li,Be,Hg,Br,1,2,2,-1,92.0,45.0,102.0,73.5,196.0,7.242092063301893
Li2BeHgI6,Li,Be,Hg,I,1,2,2,-1,92.0,45.0,102.0,73.5,220.00000000000003,7.568622675546791
Li2BePbF6,Li,Be,Pb,F,1,2,2,-1,92.0,45.0,119.0,82.0,133.0,10.372170688162672
Li2BePbCl6,Li,Be,Pb,Cl,1,2,2,-1,92.0,45.0,119.0,82.0,181.0,10.957536541821208
Li2BePbBr6,Li,Be,Pb,Br,1,2,2,-1,92.0,45.0,119.0,82.0,196.0,11.140463371089501
Li2BePbI6,Li,Be,Pb,I,1,2,2,-1,92.0,45.0,119.0,82.0,220.00000000000003,11.43314629791877
Li2BeNpF6,Li,Be,Np,F,1,2,2,-1,92.0,45.0,110.00000000000001,77.5,133.0,7.637546673866638
Li2BeNpCl6,Li,Be,Np,Cl,1,2,2,-1,92.0,45.0,110.00000000000001,77.5,181.0,8.256901512576317
