comp,spin,VBM,CBM,bandgap,VBMtotcontr.A,VBMorbital.A,VBMorbchar.A,VBMorborder.A,VBMorbcontr.A,CBMtotcontr.A,CBMorbital.A,CBMorbchar.A,CBMorborder.A,CBMorbcontr.A,VBMtotcontr.B1,VBMorbital.B1,VBMorbchar.B1,VBMorborder.B1,VBMorbcontr.B1,CBMtotcontr.B1,CBMorbital.B1,CBMorbchar.B1,CBMorborder.B1,CBMorbcontr.B1,VBMtotcontr.B2,VBMorbital.B2,VBMorbchar.B2,VBMorborder.B2,VBMorbcontr.B2,CBMtotcontr.B2,CBMorbital.B2,CBMorbchar.B2,CBMorborder.B2,CBMorbcontr.B2,VBMtotcontr.X,VBMorbital.X,VBMorbchar.X,VBMorborder.X,VBMorbcontr.X,CBMtotcontr.X,CBMorbital.X,CBMorbchar.X,CBMorborder.X,CBMorbcontr.X,spin_vbm,spin_cbm,spin_forbidden,cond_type
2932_CsMnPdF,combined,-1.13193,0.01301,1.14494,0.0,,,,0.0,0.0,,,,0.0,0.6567712608278827,3d,d,3.0,0.6560580404620971,0.055736169394881,3d,d,3.0,0.0497304673735464,0.1151769294472668,4d,d,4.0,0.0984426834462311,0.7624600698337446,4d,d,4.0,0.7605429093122339,0.2267134010268259,2p,p,2.0,0.2073291149976475,0.1804497549412179,2p,p,2.0,0.1647626613704071,1.0,1.0,False,semiconductor
2933_CsNaHoBr,1,-4.35676,0.01165,4.368410000000001,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.9828522537966468,4f,f,4.0,0.9823772045967863,0.991688864679864,4p,p,4.0,0.9914399878267952,0.0164943885250106,4p,p,4.0,0.0156857487026233,,,,insulator
2933_CsNaHoBr,-1,-4.36841,1.29305,5.66146,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.375154331961584,3s,s,3.0,0.3751218097509467,0.0,,,,0.0,0.3485070710478337,6s,s,6.0,0.3377418440706349,0.9954152461908328,4p,p,4.0,0.995084790433842,0.2676799336646971,4s,s,4.0,0.1518959854645732,,,,insulator
2933_CsNaHoBr,combined,-4.35676,0.01165,4.368410000000001,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.9828522537966468,4f,f,4.0,0.9823772045967863,0.991688864679864,4p,p,4.0,0.9914399878267952,0.0164943885250106,4p,p,4.0,0.0156857487026233,1.0,1.0,False,insulator
2934_CsHgCmBr,1,-0.01135,0.01135,0.0227,0.0,,,,0.0,0.0,,,,0.0,0.6223628691983123,6s,s,6.0,0.6223628691983123,0.5813914964766282,6s,s,6.0,0.5809934561696845,0.0457102672292545,7s,s,7.0,0.0323488045007032,0.1134653222279293,6d,d,6.0,0.0859218863773684,0.3199718706047819,4p,p,4.0,0.2390998593530238,0.3037834088696251,4p,p,4.0,0.2192129527559524,,,,metallic
2934_CsHgCmBr,-1,-0.01135,0.01135,0.0227,0.0,,,,0.0,0.0,,,,0.0,0.5078303570017987,6s,s,6.0,0.507435774993719,0.4989615784008306,6s,s,6.0,0.4989615784008306,0.1124747286595729,6d,d,6.0,0.0767670317495183,0.106178608515057,6d,d,6.0,0.0654205607476635,0.378867018346216,4p,p,4.0,0.3140443419972347,0.3920041536863966,4p,p,4.0,0.3335929387331256,,,,metallic
2934_CsHgCmBr,combined,-0.01135,0.01135,0.0227,0.0,,,,0.0,0.0,,,,0.0,0.6223628691983123,6s,s,6.0,0.6223628691983123,0.5813914964766282,6s,s,6.0,0.5809934561696845,0.0457102672292545,7s,s,7.0,0.0323488045007032,0.1134653222279293,6d,d,6.0,0.0859218863773684,0.3199718706047819,4p,p,4.0,0.2390998593530238,0.3037834088696251,4p,p,4.0,0.2192129527559524,1.0,1.0,False,metallic
2935_CsPmHgBr,1,-0.19159,0.661,0.8525900000000001,0.0,,,,0.0,0.0,,,,0.0,0.0873138588781967,4f,f,4.0,0.0750951369352724,0.9588848963455155,4f,f,4.0,0.9580891090209156,0.522553429829514,6s,s,6.0,0.5222031285471762,0.0,,,,0.0,0.3892183470399131,4p,p,4.0,0.3368884198159271,0.0321537228260071,4p,p,4.0,0.0312528779074928,,,,semiconductor
2935_CsPmHgBr,-1,-2.98888,0.02874,3.01762,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0275520616512423,4f,f,4.0,0.0156355844526937,0.0206244604644935,5d,d,5.0,0.0196640450725812,0.6274760691297933,6s,s,6.0,0.6272803914661754,0.969289731390676,4p,p,4.0,0.9682386467103422,0.3438775522771892,4p,p,4.0,0.2843473572584558,,,,semiconductor
2935_CsPmHgBr,combined,-0.19159,0.02874,0.22033,0.0,,,,0.0,0.0,,,,0.0,0.0873138588781967,4f,f,4.0,0.0750951369352724,0.0275520616512423,4f,f,4.0,0.0156355844526937,0.522553429829514,6s,s,6.0,0.5222031285471762,0.6274760691297933,6s,s,6.0,0.6272803914661754,0.3892183470399131,4p,p,4.0,0.3368884198159271,0.3438775522771892,4p,p,4.0,0.2843473572584558,1.0,-1.0,True,semiconductor
