comp,basisset#,abs_charge_spilling,bandOverlap_exists,bandOverlap_maxDev,bandOverlap_perc_kpts
1510_CsAgCoCl,basisset0,0.66,True,0.0006,0.0
1511_CsAuTbCl,basisset0,1.145,True,0.0,0.0
1512_CsFeTmCl,basisset0,1.025,False,NaN,NaN
1513_CsHgAlCl,basisset0,1.295,True,0.0005,0.0
1514_CsMgCaCl,basisset0,0.82,True,0.0476,0.0
1515_CsNiTmCl,basisset0,1.255,False,NaN,NaN
1516_CsTiPdCl,basisset0,0.75,True,0.0039,0.0
1517_CsPuVacCl,basisset0,0.92,False,NaN,NaN
1518_CsTlInCl,basisset0,0.77,True,0.0,0.0
1519_CsCdBaCl,basisset0,0.81,True,0.0002,0.0
1520_CsLiSmCl,basisset0,1.165,True,0.0011,0.0
1521_CsCoYbCl,basisset0,0.99,False,NaN,NaN
1522_CsCoHgCl,basisset0,0.675,False,NaN,NaN
1523_CsKTbCl,basisset0,1.065,False,NaN,NaN
1524_CsFeYbCl,basisset0,1.005,False,NaN,NaN
1525_CsCrCdCl,basisset0,0.575,True,0.0003,0.0
1526_CsFeHgCl,basisset0,0.685,True,0.0007,0.0
1527_CsAuGdCl,basisset0,1.13,True,0.0002,0.0
1528_CsNiYbCl,basisset0,0.96,True,0.0,0.0
1529_CsNiHgCl,basisset0,0.675,True,0.0,0.0
1530_CsNaMoCl,basisset0,0.545,True,0.004,0.0
1531_CsPdAcCl,basisset0,0.81,True,0.0008,0.0
1532_CsHgAcCl,basisset0,0.995,True,0.0037,0.0
1533_CsNpAmCl,basisset0,1.185,True,0.0,0.0
1534_CsNdHgCl,basisset0,1.27,True,0.0,0.0
1535_CsNdYbCl,basisset0,1.23,True,0.0001,0.0
1536_CsCuGdCl,basisset0,1.125,True,0.0007,0.0
1537_CsLiEuCl,basisset0,1.175,True,0.0001,0.0
1538_CsCrAgCl,basisset0,0.54,True,0.0001,0.0
1539_CsAuEuCl,basisset0,1.09,True,0.0007,0.0
1540_CsKGdCl,basisset0,1.05,True,0.0,0.0
1541_CsPrVacCl,basisset0,1.505,True,0.0,0.0
1542_CsAmVacCl,basisset0,0.91,False,NaN,NaN
1543_CsCmVacCl,basisset0,0.9,True,0.0002,0.0
1544_CsNaIrCl,basisset0,0.74,True,0.0198,0.0
1545_CsMnCdCl,basisset0,0.575,True,0.0,0.0
1546_CsNaRuCl,basisset0,0.545,True,0.0079,0.0
1547_CsRbInCl,basisset0,0.56,True,0.0127,0.0
1550_CsLiGdCl,basisset0,1.185,True,0.0014,0.0
1551_CsCaCoCl,basisset0,0.77,True,0.0003,0.0
1552_CsCaFeCl,basisset0,0.78,True,0.0002,0.0
1553_CsCuTbCl,basisset0,1.14,True,0.0,0.0
1554_CsKEuCl,basisset0,1.045,True,0.0001,0.0
1555_CsAuSmCl,basisset0,1.105,False,NaN,NaN
1556_CsZnCdCl,basisset0,0.61,True,0.0,0.0
1557_CsAgCuCl,basisset0,0.58,True,0.0028,0.0
1558_CsMnAgCl,basisset0,0.555,False,NaN,NaN
1559_CsCaNiCl,basisset0,0.755,True,0.0017,0.0
1560_CsNaTiCl,basisset0,0.595,True,0.0083,0.0
1561_CsNaRhCl,basisset0,0.51,True,0.0,0.0
1562_CsAgAlCl,basisset0,0.8,True,0.0169,0.0
1563_CsLiTbCl,basisset0,1.185,True,0.0028,0.0
1564_CsFrAlCl,basisset0,1.04,True,1.1083,1.3889
1565_CsCuCdCl,basisset0,0.6,False,NaN,NaN
1566_CsZnAgCl,basisset0,0.6,False,NaN,NaN
1567_CsRbNCl,basisset0,0.67,False,NaN,NaN
1568_CsGeCdCl,basisset0,0.69,False,NaN,NaN
1569_CsKSmCl,basisset0,1.03,True,0.0009,0.0
1570_CsTiRaCl,basisset0,1.005,True,0.0103,0.0
1571_CsAuCmCl,basisset0,0.82,False,NaN,NaN
1572_CsAuPmCl,basisset0,1.135,False,NaN,NaN
1573_CsFrCuCl,basisset0,0.775,True,2.6611,4.1667
1573_CsFrCuCl,basisset1,0.795,True,1.9209,2.7778
1574_CsPdRaCl,basisset0,0.915,True,0.0118,0.0
1575_CsAuAmCl,basisset0,0.805,True,0.0048,0.0
1576_CsLiDyCl,basisset0,1.215,False,NaN,NaN
1577_CsCuHoCl,basisset0,1.145,True,0.0002,0.0
1578_CsMgCdCl,basisset0,0.68,True,0.0,0.0
1579_CsCuAgCl,basisset0,0.58,True,0.0001,0.0
1580_CsGeAgCl,basisset0,0.81,False,NaN,NaN
1581_CsCuYCl,basisset0,0.64,True,0.0343,0.0
1582_CsBeSmCl,basisset0,1.23,False,NaN,NaN
1583_CsKPmCl,basisset0,1.05,False,NaN,NaN
1584_CsKCmCl,basisset0,0.76,True,0.0,0.0
1585_CsTlAuCl,basisset0,0.98,False,NaN,NaN
1586_CsCaBaCl,basisset0,0.94,True,0.0007,0.0
1587_CsSrEuCl,basisset0,1.04,False,NaN,NaN
1588_CsAuNdCl,basisset0,1.14,True,0.0,0.0
1589_CsKAmCl,basisset0,0.735,True,0.0,0.0
1590_CsLiHoCl,basisset0,1.2,True,0.0002,0.0
