comp,lattice_a_primitive,lattice_a_conventional,distance_B1_X,distance_B1_A,size_Oh_B1,distance_B2_X,distance_B2_A,size_Oh_B2,calc_oct_mismatch
1088_CsNaEuCl,7.587982175942155,10.731027304262703,2.721214373513844,4.646671127097973,5.442428747027686,2.644299278617509,4.646671127097973,5.2885985572350185,0.021247
1089_CsNaPaCl,7.663574348972198,10.837930780571048,2.716009746910544,4.692961690215919,5.432019493821089,2.7029556433749797,4.692961690215919,5.405911286749957,0.003606
1090_CsKIrCl,7.453689648060271,10.541108990006776,2.9339565302934174,4.564434084703198,5.867913060586831,2.336597964709971,4.564434084703198,4.673195929419945,0.165016
1091_CsRbCuCl,7.579825303139994,10.719491744119336,3.0306712943448657,4.641676083032452,6.061342588689732,2.3290745777148025,4.641676083032452,4.658149155429604,0.193811
1092_CsAuMoCl,7.2279215301484445,10.221824655704424,2.6691354003974723,4.426179912435077,5.338270800794943,2.44177692745474,4.426179912435077,4.883553854909481,0.062806
1093_CsKRuCl,7.449500690607125,10.535184909564334,2.928017992753195,4.561868882624589,5.856035985506392,2.339574462028972,4.561868882624589,4.679148924057942,0.162553
1094_CsKAsCl,7.658951918961565,10.831393677358887,2.9371865538379254,4.6901310414914725,5.87437310767585,2.4785102848415184,4.6901310414914725,4.957020569683038,0.126706
1095_CsZnSmCl,7.592715162112372,10.737720757495149,2.699261942331232,4.649569477367142,5.398523884662465,2.6695984364163428,4.649569477367142,5.339196872832684,0.008194
1096_CsRbPCl,7.68969672403388,10.874873397664672,3.0418573103131354,4.708958312658599,6.08371462062627,2.3955793885192005,4.708958312658599,4.791158777038401,0.17853
1097_CsVEuCl,7.293359594942636,10.31436805443182,2.483706989061382,4.466252379560316,4.9674139781227655,2.673477038154528,4.466252379560316,5.3469540763090535,0.052423
1098_CsKNiCl,7.381563530948523,10.439107256986032,2.94055472724059,4.520266038690196,5.881109454481179,2.278998901252426,4.520266038690196,4.557997802504853,0.18275
1099_CsPdNpCl,7.408848915794709,10.477694618290078,2.6145403997049472,4.536974856267353,5.229080799409891,2.624306909440092,4.536974856267353,5.248613818880187,0.002698
1100_CsFrNCl,7.60366343062486,10.753203947310013,3.1637628973328864,4.656273895222787,6.327525794665769,2.21283907632212,4.656273895222787,4.425678152644244,0.262686
1101_CsAgHgCl,7.310518212610031,10.338634004248624,2.5512146943229688,4.476759844054471,5.102429388645936,2.618102307801343,4.476759844054471,5.236204615602688,0.018477
1102_CsTiNpCl,7.357501995801238,10.405079107649224,2.491605643329424,4.505531417805473,4.98321128665885,2.7109339104951884,4.505531417805473,5.421867820990375,0.060588
1104_CsNaGdCl,7.566546837531495,10.70071315796829,2.722439209357879,4.633544716705472,5.444878418715756,2.6279173696262665,4.633544716705472,5.255834739252535,0.026111
1105_CsKCoCl,7.333545694544363,10.37119978150746,2.951703421698747,4.49086123925454,5.903406843397492,2.233896469054982,4.49086123925454,4.467792938109968,0.198289
1106_CsTiAmCl,7.388595198976318,10.449051537277043,2.4853022086058187,4.524572038367381,4.970604417211637,2.739223560032704,4.524572038367381,5.478447120065408,0.070144
1108_CsKMoCl,7.572344297192108,10.708912004047642,2.9339349958370557,4.637094921198691,5.867869991674108,2.4205210061867657,4.637094921198691,4.841042012373534,0.141827
1109_CsFrBCl,7.564585859036502,10.69793991558515,3.214759643915581,4.632343867528147,6.429519287831163,2.134210313876994,4.632343867528147,4.268420627753987,0.298494
1110_CsMgBaCl,7.698070727104662,10.886716026378728,2.484919574365799,4.714086321315579,4.969839148731596,2.9584384388235643,4.714086321315579,5.91687687764713,0.130806
1111_CsPdAmCl,7.39336205766895,10.455792893490084,2.571477058934632,4.527491131235607,5.1429541178692615,2.656419387810409,4.527491131235607,5.312838775620821,0.023465
1112_CsCaDyCl,7.518059313408498,10.632141443747658,2.678949223158086,4.603852293457416,5.357898446316172,2.637121498715743,4.603852293457416,5.274242997431486,0.011555
1113_CsCrPbCl,7.439577185753953,10.521150954414704,2.438062742265224,4.5557920017870135,4.876125484530446,2.822512734942128,4.5557920017870135,5.645025469884257,0.106202
1114_CsAgTbCl,7.487431060719676,10.588826553403337,2.677815119166248,4.585096395757255,5.355630238332494,2.61659815753542,4.585096395757255,5.233196315070841,0.016911
