CsVNpCl,Cs,V,2,Np,2,Cl,1234
CsPdTmCl,Cs,Pd,2,Tm,2,Cl,1235
CsTiTmCl,Cs,Ti,2,Tm,2,Cl,1236
CsMgEuCl,Cs,Mg,2,Eu,2,Cl,1237
CsCuAcCl,Cs,Cu,1,Ac,3,Cl,1238
CsAgCdCl,Cs,Ag,2,Cd,2,Cl,1239
CsHgEuCl,Cs,Hg,1,Eu,3,Cl,1240
CsNaYbCl,Cs,Na,1,Yb,3,Cl,1241
CsCoPbCl,Cs,Co,2,Pb,2,Cl,1242
CsNaAcCl,Cs,Na,1,Ac,3,Cl,1243
CsAgPrCl,Cs,Ag,1,Pr,3,Cl,1244
CsRbGaCl,Cs,Rb,1,Ga,3,Cl,1245
CsVBaCl,Cs,V,2,Ba,2,Cl,1246
CsKSbCl,Cs,K,1,Sb,3,Cl,1247
CsKPdCl,Cs,K,1,Pd,3,Cl,1248
CsCdPbCl,Cs,Cd,2,Pb,2,Cl,1249
CsTlVCl,Cs,Tl,1,V,3,Cl,1250
CsFePbCl,Cs,Fe,2,Pb,2,Cl,1251
CsNaLuCl,Cs,Na,1,Lu,3,Cl,1252
CsPoVacCl,Cs,Po,4,Vac,0,Cl,1253
CsLiAcCl,Cs,Li,1,Ac,3,Cl,1254
CsPdHgCl,Cs,Pd,2,Hg,2,Cl,1255
CsPdYbCl,Cs,Pd,2,Yb,2,Cl,1256
CsNiPbCl,Cs,Ni,2,Pb,2,Cl,1257
CsThVacCl,Cs,Th,4,Vac,0,Cl,1258
CsTiYbCl,Cs,Ti,2,Yb,2,Cl,1259
CsTiHgCl,Cs,Ti,2,Hg,2,Cl,1260
CsHgMoCl,Cs,Hg,1,Mo,3,Cl,1261
CsHgSmCl,Cs,Hg,1,Sm,3,Cl,1262
CsCoSrCl,Cs,Co,2,Sr,2,Cl,1263
CsPdNdCl,Cs,Pd,2,Nd,2,Cl,1264
CsBaPtCl,Cs,Ba,2,Pt,2,Cl,1265
CsAgPuCl,Cs,Ag,1,Pu,3,Cl,1266
CsTiNdCl,Cs,Ti,2,Nd,2,Cl,1267
CsFeSrCl,Cs,Fe,2,Sr,2,Cl,1268
CsNaAuCl,Cs,Na,1,Au,3,Cl,1269
CsDyPtCl,Cs,Dy,2,Pt,2,Cl,1270
CsNiSrCl,Cs,Ni,2,Sr,2,Cl,1271
CsAgTaCl,Cs,Ag,1,Ta,3,Cl,1272
CsAgNbCl,Cs,Ag,1,Nb,3,Cl,1273
CsHgRuCl,Cs,Hg,1,Ru,3,Cl,1274
CsHgIrCl,Cs,Hg,1,Ir,3,Cl,1275
CsCoEuCl,Cs,Co,2,Eu,2,Cl,1276
CsHgCmCl,Cs,Hg,1,Cm,3,Cl,1277
CsAgCeCl,Cs,Ag,1,Ce,3,Cl,1278
CsRbVCl,Cs,Rb,1,V,3,Cl,1279
CsHgPmCl,Cs,Hg,1,Pm,3,Cl,1280
CsCdAmCl,Cs,Cd,2,Am,2,Cl,1281
CsCrNpCl,Cs,Cr,2,Np,2,Cl,1282
CsFeEuCl,Cs,Fe,2,Eu,2,Cl,1283
CsTlRhCl,Cs,Tl,1,Rh,3,Cl,1284
