,bsites,xsite,icsd_a_lat_avg,icsd_a_lat_min,icsd_a_lat_max,a_lat_diff_min,a_lat_diff_max,sim_a_lat
CsBiNaF,"{'Bi', 'Na'}",F,9.19,9.19,9.19,0.0,0.0,9.15424191448961
CsBiKF,"{'Bi', 'K'}",F,9.558,9.558,9.558,0.0,0.0,9.567870111735184
CsBiRbF,"{'Bi', 'Rb'}",F,9.72,9.72,9.72,0.0,0.0,9.776339532758888
CsBiTlF,"{'Tl', 'Bi'}",F,9.727,9.727,9.727,0.0,0.0,9.735129612587206
CsCrKF,"{'Cr', 'K'}",F,9.004,9.004,9.004,0.0,0.0,8.952350424087712
CsMoTlF,"{'Tl', 'Mo'}",F,9.393,9.393,9.393,0.0,0.0,9.341297000317422
CsAgKF,"{'K', 'Ag'}",F,9.175,9.175,9.175,0.0,0.0,9.18392251369864
CsNaTlF,"{'Tl', 'Na'}",F,8.995,8.995,8.995,0.0,0.0,8.992471412652307
CsInNaF,"{'In', 'Na'}",F,8.905,8.905,8.905,0.0,0.0,8.881959019672216
CsRbYF,"{'Rb', 'Y'}",F,9.625,9.625,9.625,0.0,0.0,9.602807848200191
CsNaYF,"{'Na', 'Y'}",F,9.075,9.075,9.075,0.0,0.0,9.006534560940906
CsTlVF,"{'Tl', 'V'}",F,9.234,9.234,9.234,0.0,0.0,9.14976413906319
CsKVF,"{'V', 'K'}",F,9.047,9.047,9.047,0.0,0.0,8.996161762096897
CsKScF,"{'Sc', 'K'}",F,9.1689,9.1689,9.1689,0.0,0.0,9.148157510272087
CsRbScF,"{'Rb', 'Sc'}",F,9.3492,9.3492,9.3492,0.0,0.0,9.336008235226814
CsMnNaF,"{'Na', 'Mn'}",F,8.762,8.762,8.762,0.0,0.0,8.677126337993124
CsGaKF,"{'Ga', 'K'}",F,8.9162,8.848,8.9844,0.06819999999999915,0.06820000000000093,8.962926775243428
CsAlKF,"{'K', 'Al'}",F,8.796949999999999,8.7319,8.862,0.06504999999999939,0.06505000000000116,8.84529991280002
CsAlRbF,"{'Rb', 'Al'}",F,8.925799999999999,8.8356,9.016,0.09019999999999939,0.09020000000000117,9.005128887338245
CsFeKF,"{'K', 'Fe'}",F,9.041,9.041,9.041,0.0,0.0,9.010979619420375
CsAgAlF,"{'Ag', 'Al'}",F,8.5885,8.5885,8.5885,0.0,0.0,8.6535251296193
CsAgInF,"{'In', 'Ag'}",F,8.9511,8.9511,8.9511,0.0,0.0,9.02001927831405
CsInTlF,"{'Tl', 'In'}",F,9.3194,9.3194,9.3194,0.0,0.0,9.42110010298122
CsKPrF,"{'K', 'Pr'}",F,9.4858,9.4858,9.4858,0.0,0.0,9.626663390071933
CsPrRbF,"{'Rb', 'Pr'}",F,9.6868,9.6868,9.6868,0.0,0.0,9.841658505924205
CsPtF,"{'Pt', nan}",F,9.05,9.05,9.05,0.0,0.0,
CsSiF,"{'Si', nan}",F,8.890125,8.8638,8.9217,0.026324999999999932,0.03157500000000013,
CsCoF,"{'Co', nan}",F,8.914,8.914,8.914,0.0,0.0,
CsPdF,"{'Pd', nan}",F,9.0,9.0,9.0,0.0,0.0,
CsCrF,"{'Cr', nan}",F,9.022,9.022,9.022,0.0,0.0,
