CollectionCode,CcdcNo,HMS,StructuredFormula,StructureType,Title,Authors,Reference,CellParameter,ReducedCellParameter,StandardisedCellParameter,Temperature,Pressure,MineralName,PublicationYear,Quality,Unnamed: 16,cleanedformula,bsites,xsite,simplename,unique
16658,,P -3 m 1,Cs2 Th Cl6,(NH4)2SiF6,The structures of Cs2 Th Cl6 and Cs2 U Cl6,"Siegel, S.","Acta Crystallographica (1956) 9,  p. 827",7.614(7) 7.614(7) 6.038(7) 90. 90. 120.,6.0380 7.6140 7.6140 120.000 90.000 90.000,7.6140 7.6140 6.0380 90.000 90.000 120.000,293.0,0.101325,,1956,-1,,Cs2 Th Cl6,"{'Th', nan}",Cl,CsThCl,True
16659,,P -3 m 1,Cs2 U Cl6,(NH4)2SiF6,The structures of Cs2 Th Cl6 and Cs2 U Cl6,"Siegel, S.","Acta Crystallographica (1956) 9,  p. 827",7.492(3) 7.492(3) 6.038(3) 90. 90. 120.,6.0380 7.4920 7.4920 120.000 90.000 90.000,7.4920 7.4920 6.0380 90.000 90.000 120.000,293.0,0.101325,,1956,-1,,Cs2 U Cl6,"{'U', nan}",Cl,CsUCl,True
23165,,P 63 m c,Cs2 Bk Cl6,K2MnF6,Preparation and Crystal Structures of Dicesium Berkelium Hexachloride and Dicesium Sodium Berkelium Hexachloride,"Morss, L.R.; Fuger, J.","Inorganic Chemistry (1969) 8,  p. 1433-1439",7.450(3) 7.450(3) 12.098(5) 90. 90. 120.,7.4500 7.4500 12.0980 90.000 90.000 120.000,7.4500 7.4500 12.0980 90.000 90.000 120.000,293.0,0.101325,,1969,-1,,Cs2 Bk Cl6,"{'Bk', nan}",Cl,CsBkCl,True
38166,,P -3 m 1,Cs2 Pu Cl6,(NH4)2SiF6,Crystal chemical studies of the 5f-series of elements. II. The crystal structure of Cs2 Pu Cl6,"Zachariasen, W.H.","Acta Crystallographica (1948) 1,  p. 268-269",7.45(1) 7.45 6.04(1) 90. 90. 120.,6.0400 7.4500 7.4500 120.000 90.000 90.000,7.4500 7.4500 6.0400 90.000 90.000 120.000,293.0,0.101325,,1948,-1,,Cs2 Pu Cl6,"{'Pu', nan}",Cl,CsPuCl,True
200,,R -3 m H,Cs2 Na (Cr F6),Ba2NiTeO6,"Strukturen caesiumhaltiger Fluoride, III. Die Kristallstrukturen der hexagonalen Elpasolithe: 12L-Cs2 Na Cr F6, 12L-Cs2 Na Fe F6 und 2L-Cs2 Li Ga F6","Babel, D.; Haegele, R.","Journal of Solid State Chemistry (1976) 18,  p. 39-50",6.243(7) 6.243(7) 30.00(1) 90. 90. 120.,6.2429 6.2429 10.6298 72.923 72.923 60.000,6.2430 6.2430 30.0000 90.000 90.000 120.000,293.0,0.101325,,1976,10,,Cs2 Na Cr F6,"{'Cr', 'Na'}",F,CsCrNaF,True
202,,P -3 m 1,Cs2 Li (Ga F6),,"Strukturen caesiumhaltiger Fluoride, III. Die Kristallstrukturen der hexagonalen Elpasolithe: 12L-Cs2 Na Cr F6, 12L-Cs2 Na Fe F6 und 2L-Cs2 Li Ga F6","Babel, D.; Haegele, R.","Journal of Solid State Chemistry (1976) 18,  p. 39-50",6.249(5) 6.249(5) 5.086(5) 90. 90. 120.,5.0860 6.2490 6.2490 120.000 90.000 90.000,6.2490 6.2490 5.0860 90.000 90.000 120.000,293.0,0.101325,,1976,10,,Cs2 Li Ga F6,"{'Ga', 'Li'}",F,CsGaLiF,True
55003,,R -3 m H,Cs2 Na Ga F6,Ba2NiTeO6,Structure determination and a vibrational study for the hexagonal elpasolite Cs2 Na Ga F6 : Cr(3+),"Bordallo, H.N.; Wang, X.; Hanif, K.M.; Strouse, G.F.; da Fonseca, R.J.M.; Sosman, L.P.; Dias Tavares, A.jr.","Journal of Physics: Condensed Matter (2002) 14,  p. 12383-12389",6.244(1) 6.244(1) 30.270(4) 90. 90. 120.,6.2439 6.2439 10.7147 73.060 73.060 60.000,6.2440 6.2440 30.2700 90.000 90.000 120.000,293.0,0.101325,Elpasolite,2002,10,,Cs2 Na Ga F6,"{'Ga', 'Na'}",F,CsGaNaF,True
55698,,R -3 m H,Cs2 Na (Ga F6),Ba2NiTeO6,The effect of the cation substitution on the structural and vibrational properties of Cs2 Na Gax Sc1-x F6 solid solution,"Doriguetto, A.C.; Boschi, T.M.; Pizani, P.S.; Mascarenhas, Y.P.; Ellena, J.","Journal of Chemical Physics (2004) 121, (7) p. 3184-3190",6.2570(4) 6.2570(4) 30.301(2) 90. 90. 120.,6.2570 6.2570 10.7269 73.043 73.043 60.000,6.2570 6.2570 30.3010 90.000 90.000 120.000,293.0,0.101325,,2004,10,,Cs2 Na Ga F6,"{'Ga', 'Na'}",F,CsGaNaF,True
67160,,P -3 m 1,Cs2 Na (Ti F6),Ba2InRuO6,Neues ueber Cs2 Na (Ti F6) Ein weiterer Vertreter der 6-Layer-Struktur,"Becker, S.; Hoppe, R.","Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1989) 579,  p. 16-26",6.2879(9) 6.2879(9) 15.309(3) 90. 90. 120.,6.2879 6.2879 15.3090 90.000 90.000 120.000,6.2879 6.2879 15.3090 90.000 90.000 120.000,293.0,0.101325,,1989,10,,Cs2 Na Ti F6,"{'Ti', 'Na'}",F,CsNaTiF,True
93458,,R -3 m H,Cs2 Na (Al F6),Ba2NiTeO6,Structural and vibrational study of chromium doped elpasolite crystals Cs2 Na Al F6,"Bordallo, H.N.; Henning, R.W.; Sosman, L.P.; da Fonseca, R.J.M.; Dias Tavares, A.jr.; Hanif, K.M.; Strouse, G.F.","Journal of Chemical Physics (2001) 115, (9) p. 4300-4305",6.1920(4) 6.1920(4) 29.839(4) 90 90 120,6.1920 6.1920 10.5693 72.967 72.967 60.000,6.1920 6.1920 29.8390 90.000 90.000 120.000,296.0,0.101325,,2001,10,,Cs2 Na Al F6,"{'Na', 'Al'}",F,CsAlNaF,True
93459,,R -3 m H,Cs2 Na (Al F6),Ba2NiTeO6,Structural and vibrational study of chromium doped elpasolite crystals Cs2 Na Al F6,"Bordallo, H.N.; Henning, R.W.; Sosman, L.P.; da Fonseca, R.J.M.; Dias Tavares, A.jr.; Hanif, K.M.; Strouse, G.F.","Journal of Chemical Physics (2001) 115, (9) p. 4300-4305",6.1811(8) 6.1811(8) 29.845(6) 90 90 120,6.1810 6.1810 10.5690 72.998 72.998 60.000,6.1811 6.1811 29.8450 90.000 90.000 120.000,296.0,0.101325,,2001,10,,Cs2 Na Al F6,"{'Na', 'Al'}",F,CsAlNaF,True
148423,,R -3 m H,Cs2 Na Ga F6,Ba2NiTeO6,Zero thermal quenching and suppressed concentration quenching in a highly efficient structure-confined fluoride near-infrared phosphor,"Zuo, Jiaxing; Nie, Wendong; Li, Yan; Xie, Huangshi; Gao, Jiaju; Lai, Wenlong; Li, Xing; Peng, Jiaqing; Ye, Xinyu","Journal of Alloys and Compounds (2023) 968,   Article ID 171957",6.239920(9) 6.239920(9) 30.25045(6) 90. 90. 120.,6.2399 6.2399 10.7077 73.060 73.060 60.000,6.2399 6.2399 30.2505 90.000 90.000 120.000,293.0,0.101325,,2023,10,,Cs2 Na Ga F6,"{'Ga', 'Na'}",F,CsGaNaF,True
148425,,R -3 m H,Cs2 Na Cr F6,Ba2NiTeO6,Zero thermal quenching and suppressed concentration quenching in a highly efficient structure-confined fluoride near-infrared phosphor,"Zuo, Jiaxing; Nie, Wendong; Li, Yan; Xie, Huangshi; Gao, Jiaju; Lai, Wenlong; Li, Xing; Peng, Jiaqing; Ye, Xinyu","Journal of Alloys and Compounds (2023) 968,   Article ID 171957",6.226937(28) 6.226937(28) 30.24263(13) 90. 90. 120.,6.2269 6.2269 10.7028 73.088 73.088 60.000,6.2269 6.2269 30.2426 90.000 90.000 120.000,293.0,0.101325,,2023,10,,Cs2 Na Cr F6,"{'Cr', 'Na'}",F,CsCrNaF,True
9002,,R -3 m H,Cs2 Na (Cr F6),Ba2NiTeO6,Einkristall-Strukturdaten einiger Fluoride und Cyanide A2 B M X6 der Elpasolithfamilie,"Haegele, R.; Verscharen, W.; Babel, D.","Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie, Biochemie, Biophysik, Biologie (1975) 30,  p. 462-464",6.243 6.243 30.32999 90. 90. 120.,6.2430 6.2430 10.7333 73.093 73.093 60.000,6.2430 6.2430 30.3300 90.000 90.000 120.000,293.0,0.101325,,1975,-1,,Cs2 Na Cr F6,"{'Cr', 'Na'}",F,CsCrNaF,True
9004,,P -3 m 1,Cs2 Li (Ga F6),,Einkristall-Strukturdaten einiger Fluoride und Cyanide A2 B M X6 der Elpasolithfamilie,"Haegele, R.; Verscharen, W.; Babel, D.","Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie, Biochemie, Biophysik, Biologie (1975) 30,  p. 462-464",6.249 6.249 5.086 90. 90. 120.,5.0860 6.2490 6.2490 120.000 90.000 90.000,6.2490 6.2490 5.0860 90.000 90.000 120.000,293.0,0.101325,,1975,-1,,Cs2 Li Ga F6,"{'Ga', 'Li'}",F,CsGaLiF,True
41801,,R -3 m H,Cs2 Na (Al F6),Ba2NiTeO6,The crystal structure of sodium cesium fluoroaluminate Cs2 Na Al F6,"Golovastikov, N.I.; Belov, N.V.","Kristallografiya (1978) 23,  p. 42-46",6.176 6.176 29.81999 90. 90. 120.,6.1760 6.1760 10.5602 72.997 72.997 60.000,6.1760 6.1760 29.8200 90.000 90.000 120.000,293.0,0.101325,,1978,-1,,Cs2 Na Al F6,"{'Na', 'Al'}",F,CsAlNaF,True
