,chemsys,nsites,E_MACE-MPA-0,E_MACE-MP-0b3,E_MatPES-r2SCAN,E_SevenNet
mp-1102362,Au-Ce,12,-65.04682150516533,-65.26077190503115,-454.6507873535156,-64.98567199707031
mp-1103758,Au-Ce,14,-56.389162454391084,-56.34765449676799,-674.5528564453125,-56.29191207885742
mp-1184183,Cu-Ge,4,-16.65713403645588,-16.64286270059789,-50.444374084472656,-16.660472869873047
mp-1225745,Cu-Ge,4,-16.38034591243086,-16.29845799474348,-45.57365417480469,-16.307781219482422
mp-1225722,Cu-Ge,7,-29.27174782207213,-29.21342154571045,-81.31809997558594,-29.374980926513672
mp-1225769,Cu-Ge,7,-29.27475102129747,-29.212488314204286,-81.20690155029297,-29.294628143310547
mp-1025440,Cu-Ge,8,-33.570839390968416,-33.52567061294776,-101.30667877197266,-33.66278839111328
mp-1184021,Cu-Ge,8,-33.83607244352412,-33.874428842265296,-92.32722473144531,-33.830535888671875
mp-19724,Cu-Ge,8,-33.85555843042839,-33.878845452440544,-92.39176177978516,-33.813446044921875
mp-1184147,Cu-Ge,8,-33.34018064037588,-33.32088339891716,-100.93373107910156,-33.35528564453125
mp-8398,Cs-F-Yb,5,-25.895307863126806,-25.832358864563535,-87.69683837890625,-26.190031051635742
mp-615776,Cs-F-Yb,56,-264.7620031799741,-264.9520842949126,-873.8002319335938,-264.9998474121094
mp-1112325,As-Br-Cs-K,10,-28.9394559451813,-28.990761968079195,-143.8524932861328,-28.971172332763672
mp-998160,Co-F-Tl,5,-22.92394356193004,-22.813962428065047,-86.32599639892578,-22.92997932434082
mp-1206757,Co-F-Tl,7,-30.775195220776478,-30.679273220422367,-146.31622314453125,-30.785158157348633
mp-1110570,F-Ga-Na,10,-45.285101324585575,-45.246987574245274,-70.1479263305664,-45.251529693603516
mp-558924,F-Ga-Na,44,-204.66618703050827,-204.7483795210358,-323.25457763671875,-204.7337188720703
mp-865889,Be-Yb,28,-103.26045690797831,-102.60846030280747,-185.27410888671875,-103.14607238769531
mp-23017,Br-Cs-Cu,12,-37.51992740454849,-37.58363504410906,-184.03028869628906,-37.530128479003906
mp-27336,Br-Cs-Cu,20,-58.07519113320575,-58.19681343639799,-324.3426513671875,-57.87194061279297
mp-1226699,Br-Cs-Cu,24,-73.98026816106129,-73.84077535265602,-437.1316833496094,-74.09188842773438
mp-1192723,Br-Cs-Cu,28,-82.64012963156374,-83.18775906168305,-494.6838684082031,-83.18814086914062
mp-582423,Br-Cs-Cu,40,-124.74015837800901,-124.47644214089681,-707.0532836914062,-124.43696594238281
mp-2647024,Br-Cs-U,5,-22.996469139649456,-23.71828596689017,-152.56326293945312,-23.367460250854492
mp-540735,Br-Cs-U,9,-37.5081739040059,-37.37363270525749,-226.75096130371094,-37.44927978515625
mp-675640,As-F-Hg,18,-62.21416875408357,-64.49026272085382,-296.2459411621094,-64.64329528808594
mp-27292,As-F-Hg,34,-127.99285120093072,-127.84333879918142,-495.92486572265625,-127.55675506591797
mp-540925,As-F-Hg,36,-128.934915237155,-129.05050076062852,-595.3545532226562,-129.0333251953125
mp-1195247,As-F-Hg,36,-139.7359688809236,-139.6372332235094,-417.36138916015625,-139.65298461914062
mp-85,In,1,-2.72279762323217,-2.716364033930673,-22.561376571655273,-2.716202735900879
mp-1184478,In,1,-2.713073000879,-2.706671672589627,-22.550006866455078,-2.7049472332000732
mp-1055994,In,1,-2.722421620645667,-2.7158690566327524,-22.560810089111328,-2.715991735458374
mp-973111,In,2,-5.434419053891764,-5.42644189630963,-45.12312316894531,-5.432585716247559
mp-1184502,In,3,-8.158023912013913,-8.142541598318852,-67.68504333496094,-8.148648262023926
mp-1184511,In,4,-10.881090826889796,-10.858296357607337,-90.2463150024414,-10.865324020385742
mp-1184693,In,29,-78.58624105471199,-78.47359087144406,-654.0196533203125,-78.49964904785156
mp-35906,Ag-Cl-Y,10,-37.65283455539743,-37.61636204166223,-134.36761474609375,-37.67005920410156
mp-1207124,F-Hg-Ta,10,-46.28157828960705,-46.26630090601574,-238.7763214111328,-46.19132614135742
mp-675545,F-Hg-Ta,18,-89.6009232639523,-89.77241696652919,-377.57830810546875,-89.94305419921875
